FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
29035,MO,Carter County,36.944783,-90.945626,12.3,34134,37.3,33.33%
29059,MO,Dallas County,37.683583,-93.033812,31,38765,42.1,13.33%
29067,MO,Douglas County,36.946517,-92.515892,16.8,36762,44.5,40.00%
29091,MO,Howell County,36.774369,-91.887368,43.6,36762,39.6,43.33%
29099,MO,Jefferson County,38.257414,-90.543138,333.1,65150,31.8,20.32%
29125,MO,Maries County,38.162615,-91.923601,17.4,46371,40.3,16.67%
29127,MO,Marion County,39.807538,-91.635379,65.9,49393,38.2,11.54%
29161,MO,Phelps County,37.866326,-91.790349,67.2,43079,29.9,10.00%
29169,MO,Pulaski County,37.824835,-92.207022,95.5,52532,27.6,3.45%
29213,MO,Taney County,36.649827,-93.042819,81.7,40887,34,23.21%
29215,MO,Texas County,37.314257,-91.964478,22.1,34824,39.9,8.33%
29217,MO,Vernon County,37.850196,-94.341597,25.6,42552,41.9,7.69%
29221,MO,Washington County,37.942315,-90.897056,33.2,38591,38.7,40.00%
29510,MO,St. Louis city,38.635699,-90.244582,5157.5,43263,23.6,49.47%
30003,MT,Big Horn County,45.407869,-107.518163,2.6,40425,35.8,40.00%
30083,MT,Richland County,47.785513,-104.563387,4.7,67242,38.1,18.52%
30101,MT,Toole County,48.645052,-111.733493,2.8,46326,39.1,25.00%
31003,NE,Antelope County,42.183225,-98.058037,7.8,55371,33,25.00%
31059,NE,Fillmore County,40.52504,-97.596705,10.2,56697,36.1,14.29%
31077,NE,Greeley County,41.5676,-98.530566,4.5,45221,33.8,33.33%
31093,NE,Howard County,41.219403,-98.513303,11,52292,37.4,44.44%
31127,NE,Nemaha County,40.387448,-95.850954,17.8,52069,31.4,7.69%
32005,NV,Douglas County,38.905129,-119.609019,66.2,70495,24.1,13.95%
32510,NV,Carson City,39.153447,-119.743442,382.1,56382,27.5,2.90%
33001,NH,Belknap County,43.519109,-71.425366,150.1,64777,28.5,47.90%
33019,NH,Sullivan County,43.361188,-72.222084,81.4,60034,37.2,4.40%
35045,NM,San Juan County,36.511625,-108.324578,23.6,46578,30.7,40.87%
35057,NM,Torrance County,34.634644,-105.846836,4.9,39123,36.6,47.06%
36015,NY,Chemung County,42.155281,-76.747179,218.1,52565,36,19.87%
36029,NY,Erie County,42.752759,-78.778192,881.4,56375,27.7,0.80%
36039,NY,Greene County,42.286951,-74.149495,76.1,54514,38.2,2.75%
36055,NY,Monroe County,43.464475,-77.664656,1132.6,60240,24,48.49%
36063,NY,Niagara County,43.456731,-78.792143,414.4,55013,34.2,27.15%
36067,NY,Onondaga County,43.00653,-76.196117,600,59786,25.3,15.27%
36105,NY,Sullivan County,41.720176,-74.76468,80.1,51985,33.6,8.78%
36107,NY,Tioga County,42.178057,-76.29745,98.6,60309,36.1,9.93%
36117,NY,Wayne County,43.458758,-77.063164,155.3,61118,34.6,26.53%
37039,NC,Cherokee County,35.136233,-84.061308,60.3,41262,34.6,1.87%
37121,NC,Mitchell County,36.013102,-82.163554,70.4,43967,33.6,19.44%
38015,ND,Burleigh County,46.971843,-100.462001,49.8,72277,23.3,32.40%
38073,ND,Ransom County,46.449276,-97.647554,6.3,61634,39.1,33.33%
38089,ND,Stark County,46.817031,-102.662026,18.1,71888,33,43.28%
38101,ND,Ward County,48.216686,-101.540537,30.6,63938,31.1,33.33%
38105,ND,Williams County,48.345867,-103.4874,10.8,79354,26.4,40.85%
39035,OH,Cuyahoga County,41.760392,-81.724217,2800,50006,28,23.25%
39043,OH,Erie County,41.554006,-82.525897,306.4,53135,37.8,12.35%
39095,OH,Lucas County,41.682321,-83.468867,1296.2,47865,29.7,24.50%
41027,OR,Hood River County,45.511775,-121.655976,42.8,66607,21.2,28.57%
41029,OR,Jackson County,42.411782,-122.675797,73,55511,26.3,44.24%
41033,OR,Josephine County,42.385382,-123.597245,50.4,46578,30.9,7.10%
41045,OR,Malheur County,43.1877,-117.603976,3.2,42624,30.3,3.03%
41071,OR,Yamhill County,45.248138,-123.316117,138.6,61776,25.6,22.00%
42001,PA,Adams County,39.869471,-77.21773,195.5,62877,40.5,16.99%
42003,PA,Allegheny County,40.46892,-79.98092,1675.6,59881,27.8,6.19%
42005,PA,Armstrong County,40.812379,-79.464128,105.5,49436,48,38.26%
42015,PA,Bradford County,41.791495,-76.502124,54.6,50978,46.7,34.44%
42017,PA,Bucks County,40.336887,-75.10706,1034.7,88538,28.8,7.21%
42021,PA,Cambria County,40.494127,-78.715284,208.7,45163,44.9,40.88%
42029,PA,Chester County,39.973965,-75.749732,664.7,99224,21.4,15.73%
42031,PA,Clarion County,41.198239,-79.420404,66.6,46284,45,5.62%
42033,PA,Clearfield County,41.000249,-78.473749,71.3,46706,49.1,3.29%
42035,PA,Clinton County,41.245301,-77.649141,44.2,50999,45.5,48.60%
